white_pawns,white_rooks,white_knights,white_bishops,white_queens,white_kings,black_pawns,black_rooks,black_knights,black_bishops,black_queens,black_kings,turn,score
2147597824,258,67108992,2097160,32,16,143552238122434560,144115188075855873,288230651029618688,5188146770730811392,2305843009213693952,1152921504606846976,0,0.0000000000000000
2147597824,258,68719476864,2097160,32,16,143552238122434560,144115188075855873,288230651029618688,5188146770730811392,2305843009213693952,1152921504606846976,1,0.0000000000000000
549824027136,258,132,72,9007199254740992,16,134545038867693568,144115188075855873,288230376168488960,-8646911284551352320,2305843009213693952,1152921504606846976,1,0
549824027136,258,132,72,0,16,134545038867693568,144115188075855873,288230376168488960,-8646911284551352320,9007199254740992,1152921504606846976,0,0.0000000000000000
549824027136,258,68,8,0,16,134545038867693568,144115188075855873,288230376168488960,-8646911284551352320,9007199254740992,1152921504606846976,1,0.0000000000000000
549823994368,258,68,8,0,16,134545038867693568,144115188075855873,288230376151744512,-8646911284551352320,9007199254740992,1152921504606846976,0,0.0000000000000000
549823994368,258,132,8,0,16,134545038867693568,144115188075855873,288230376151744512,-8646911284551352320,9007199254740992,1152921504606846976,1,0.0000000000000000
549823994368,2,132,8,0,16,134545038867693568,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,0,1.0000000000000000
549823994368,2,2147483652,8,0,16,134545038867693568,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,1,0.0000000000000000
549823994368,2,2147483652,8,0,16,62487444829765632,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,0,0.0000000000000000
549823994368,2,2147483680,8,0,16,62487444829765632,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,1,1.0000000000000000
549823994368,2,2147483680,8,0,16,58001437388439552,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,0,1.0000000000000000
549823994368,2,2147483680,8192,0,16,58001437388439552,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,1,0.0000000000000000
549823994368,2,2147483680,8192,0,16,21972640637911040,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,0,0.0000000000000000
550359816704,2,2147483680,8192,0,16,21972640637911040,144115188075855873,288230376151712000,-8646911284551352320,9007199254740992,1152921504606846976,1,1.0000000000000000
550359816704,2,32,8192,0,16,21972640637911040,144115188075855873,288230376151712000,-9223372034707292160,9007199254740992,1152921504606846976,0,1.0000000000000000
550359816704,2,32,2147483648,0,16,21972640637911040,144115188075855873,288230376151712000,-9223372036854775808,9007199254740992,1152921504606846976,1,0.0000000000000000
550359816704,2,32,2147483648,0,16,3958517006336000,144115188075855873,288230376151712000,-9223372036854775808,9007199254740992,1152921504606846976,0,0.0000000000000000
550359816704,2,32,274877906944,0,16,3958242128429056,144115188075855873,288230376151712000,-9223372036854775808,9007199254740992,1152921504606846976,1,0.0000000000000000
550359816704,2,32,274877906944,0,16,3958242128429056,144115188075855873,288230376151712000,-9223372036854775808,2097152,1152921504606846976,0,0.0000000000000000
550361897472,2,32,274877906944,0,16,3958242128429056,144115188075855873,288230376151712000,-9223372036854775808,0,1152921504606846976,1,1.0000000000000000
550361897472,2,32,274877906944,0,16,3958242128429056,144115188075855873,288230376151728128,-9223372036854775808,0,1152921504606846976,0,0.0000000000000000
550361897472,2,64,274877906944,0,16,3958242128429056,144115188075855873,288230376151728128,-9223372036854775808,0,1152921504606846976,1,0.0000000000000000
550361896960,2,64,274877906944,0,16,3958242128429056,144115188075855873,288230376151728128,512,0,1152921504606846976,0,1.0000000000000000
550361896960,2,64,274877906944,0,8,3958242128429056,144115188075855873,288230376151728128,512,0,1152921504606846976,1,1.0000000000000000
550361896960,2,64,274877906944,0,8,3958242128429056,144115188075855873,288230376151719936,512,0,1152921504606846976,0,0.0000000000000000
4316672,258,128,2097160,32,16,137940330774265856,144115188075855873,1407374883553280,4899916394579099648,2305843009213693952,1152921504606846976,0,0
4316672,258,2097152,8,32,16,137940330774265856,144115188075855873,1407374883553280,4899916394579099648,2305843009213693952,1152921504606846976,1,0.0000000000000000
4316672,258,2097152,8,32,16,137940330774265856,144115188075855873,281509336449024,4899916394579099648,2305843009213693952,1152921504606846976,0,1.0000000000000000
4316672,258,2097152,262144,32,16,137940330774265856,144115188075855873,281509336449024,4899916394579099648,2305843009213693952,1152921504606846976,1,0.0000000000000000
4316672,258,2097152,262144,32,16,128933131519524864,144115188075855873,281509336449024,297237575406452736,2305843009213693952,1152921504606846976,0,0.0000000000000000
4316672,258,2097152,34359738368,32,16,128933131519524864,144115188075855873,281474976710656,297237575406452736,2305843009213693952,1152921504606846976,1,1.0000000000000000
4316672,258,2097152,34359738368,32,16,128933131519524864,144115188075855873,281474976710656,297237575406452736,8796093022208,1152921504606846976,0,1.0000000000000000
4316672,258,2097152,268435456,32,16,128933131519524864,144115188075855873,281474976710656,297237575406452736,8796093022208,1152921504606846976,1,1.0000000000000000
4316672,258,2097152,268435456,32,16,128933131519524864,144115188075855873,281474976710656,297237575406452736,1125899906842624,1152921504606846976,0,1.0000000000000000
4316672,262400,2097152,268435456,32,16,128933131519524864,144115188075855873,281474976710656,297237575406452736,1125899906842624,1152921504606846976,1,0.0000000000000000
4316672,262400,2097152,268435456,32,16,92904334500560898,144115188075855873,281474976710656,297237575406452736,1125899906842624,1152921504606846976,0,0.0000000000000000
4316672,1125899906842880,2097152,268435456,32,16,92904334500560898,144115188075855873,281474976710656,297237575406452736,0,1152921504606846976,1,1.0000000000000000
4316672,256,2097152,268435456,32,16,92904334500560898,144115188075855873,281474976710656,10133099161583616,0,1152921504606846976,0,1.0000000000000000
4316672,256,2097152,1,32,16,92904334500560898,144115188075855872,281474976710656,10133099161583616,0,1152921504606846976,1,1.0000000000000000
4315648,256,2097152,1,32,16,92904334500561920,144115188075855872,281474976710656,10133099161583616,0,1152921504606846976,0,1.0000000000000000
4315648,256,2097152,1024,32,16,92904334500560896,144115188075855872,281474976710656,10133099161583616,0,1152921504606846976,1,0.0000000000000000
4315648,256,2097152,1024,32,16,92904334500560896,144115188075855872,281474976710656,1125899906842624,0,9007199254740992,0,0.0000000000000000
4315648,256,2147483648,1024,32,16,92904334500560896,144115188075855872,281474976710656,1125899906842624,0,9007199254740992,1,1.0000000000000000
4315648,256,2147483648,1024,32,16,92904334500560896,144115188075855872,281474976710656,1125899906842624,0,1152921504606846976,0,1.0000000000000000
4315648,256,281474976710656,1024,32,16,92904334500560896,144115188075855872,0,1125899906842624,0,1152921504606846976,1,0.0000000000000000
4315648,256,281474976710656,1024,32,16,92904334500560896,144115188075855872,0,1125899906842624,0,9007199254740992,0,0.0000000000000000
4315648,256,281474976710656,1024,2097152,16,92904334500560896,144115188075855872,0,1125899906842624,0,9007199254740992,1,1.0000000000000000
4315648,256,281474976710656,1024,2097152,16,92904334500560896,144115188075855872,0,1125899906842624,0,4503599627370496,0,0.0000000000000000
2147604992,256,281474976710656,1024,2097152,16,92904334500560896,144115188075855872,0,1125899906842624,0,4503599627370496,1,0.0000000000000000
2147572224,256,281474976710656,1024,2097152,16,92904334500560896,144115188075855872,0,32768,0,4503599627370496,0,0.0000000000000000
2147572224,256,281474976710656,1024,137438953472,16,92904334500560896,144115188075855872,0,32768,0,4503599627370496,1,0.0000000000000000
2147572224,256,281474976710656,1024,0,16,92886879753469952,144115188075855872,0,32768,0,4503599627370496,0,1.0000000000000000
2147572224,256,281474976710656,137438953472,0,16,92886742314516480,144115188075855872,0,32768,0,4503599627370496,1,0.0000000000000000
2147572224,256,281474976710656,137438953472,0,16,75013081293389824,144115188075855872,0,32768,0,4503599627370496,0,0.0000000000000000
2147572224,8388608,281474976710656,137438953472,0,16,75013081293389824,144115188075855872,0,32768,0,4503599627370496,1,1.0000000000000000
2147572224,8388608,281474976710656,137438953472,0,16,75013081293389824,144115188075855872,0,32768,0,1152921504606846976,0,0.0000000000000000
2147572224,8388608,281474976710656,137438953472,0,32,75013081293389824,144115188075855872,0,32768,0,1152921504606846976,1,0.0000000000000000
2147572224,0,281474976710656,137438953472,0,32,75013081293389824,144115188075855872,0,8388608,0,1152921504606846976,0,0.0000000000000000
2147572224,0,281474976710656,137438953472,0,64,75013081293389824,144115188075855872,0,8388608,0,1152921504606846976,1,0.0000000000000000
2147572224,0,281474976710656,0,0,64,75013081293389824,144115188075855872,0,137438953472,0,1152921504606846976,0,0.0000000000000000
2147572224,0,281474976710656,0,0,128,75013081293389824,144115188075855872,0,137438953472,0,1152921504606846976,1,0.0000000000000000
2147572224,0,281474976710656,0,0,128,75013081293389824,288230376151711744,0,137438953472,0,1152921504606846976,0,0.0000000000000000
2147572224,0,281474976710656,0,0,256,75013081293389824,288230376151711744,0,137438953472,0,1152921504606846976,1,0.0000000000000000
2147572224,0,281474976710656,0,0,256,75013081293389824,288230376151711744,0,536870912,0,1152921504606846976,0,0.0000000000000000
2147572224,0,281474976710656,0,0,128,75013081293389824,288230376151711744,0,536870912,0,1152921504606846976,1,0.0000000000000000
2147572224,0,281474976710656,0,0,128,75013081293389824,4,0,536870912,0,1152921504606846976,0,0.0000000000000000
277010944,258,132,72,32,16,107664178591825920,144115188075855873,-9223372002495037440,612489549322387456,2305843009213693952,1152921504606846976,0,0
277531136,258,132,72,32,16,107664178591825920,144115188075855873,-9223372002495037440,612489549322387456,2305843009213693952,1152921504606846976,1,0.0000000000000000
277531136,258,132,72,32,16,107664178591825920,144115188075855873,36507222016,612489549322387456,2305843009213693952,1152921504606846976,0,0.0000000000000000
277531136,258,2147483652,72,32,16,107664178591825920,144115188075855873,34359738368,612489549322387456,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147483652,72,32,16,107664178591825920,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,0,0.0000000000000000
277531136,258,2147483652,8200,32,16,107664178591825920,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,1,0.0000000000000000
277531136,258,2147483652,8200,32,16,103178171150499840,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,0,1.0000000000000000
277531136,258,2147483652,549755822080,32,16,103178171150499840,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147483652,549755822080,32,16,103178171150499840,144115188075855873,8796093022208,36029071896870912,2305843009213693952,1152921504606846976,0,1.0000000000000000
277531136,258,2147483652,549760008192,32,16,103178171150499840,144115188075855873,8796093022208,36029071896870912,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147483652,549760008192,32,16,103178171150499840,144115188075855873,8796093022208,4611686293305294848,2305843009213693952,1152921504606846976,0,1.0000000000000000
277531136,258,2147483652,6291456,32,16,103178171150499840,144115188075855873,8796093022208,4611686293305294848,2305843009213693952,1152921504606846976,1,0.0000000000000000
277531136,258,2147483652,6291456,32,16,94170971895758848,144115188075855873,8796093022208,9007474132647936,2305843009213693952,1152921504606846976,0,0.0000000000000000
277531136,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,8796093022208,9007474132647936,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,8796093022208,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728572416,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,8796093022208,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728572416,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728572416,258,2684354560,6291456,32,16,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728441344,258,2684354560,6291456,32,16,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728441344,258,2684354560,6291456,32,8,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728441344,258,2684354560,6291456,32,8,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728441344,258,805306368,6291456,32,8,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728441344,258,805306368,6291456,32,8,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68729487872,258,805306368,6291456,32,8,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68729487872,258,805306368,6291456,32,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68729487872,258,805306368,6291456,4096,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68729487872,258,805306368,6291456,4096,8,94170971895758848,144115188075855873,131072,9007233614479360,2305843009213693952,1152921504606846976,0,0.0000000000000000
68997906944,258,536870912,6291456,4096,8,94170971895758848,144115188075855873,131072,9007233614479360,2305843009213693952,1152921504606846976,1,0.0000000000000000
68997906944,258,536870912,6291456,4096,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,536870912,2149580800,4096,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68997906944,258,536870912,2149580800,4096,8,22394852834541568,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,536870912,281477124194304,4096,8,22113377857830912,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68997906944,258,536870912,281477124194304,4096,8,4169348092526592,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,70368744177664,281477124194304,4096,8,4098979348348928,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68997906944,258,70368744177664,2147483648,4096,8,4098979348348928,144396663052566528,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,70368744177664,2147483648,281474976710656,8,4098979348348928,144115188075855872,131072,9007216434610176,2305843009213693952,1152921504606846976,1,0.0000000000000000
68997906944,258,70368744177664,2147483648,281474976710656,8,4098979348348928,144115188075855872,131072,9007216434610176,33554432,1152921504606846976,0,0.0000000000000000
68997906944,258,-9223372036854775808,2147483648,281474976710656,8,4098979348348928,144115188075855872,131072,9007216434610176,33554432,1152921504606846976,1,1.0000000000000000
68997906944,258,-9223372036854775808,2147483648,281474976710656,8,4098979348348928,144115188075855872,131072,9007216434610176,33554432,2305843009213693952,0,0.0000000000000000
68997906944,258,-9223372036854775808,2147483648,17592186044416,8,4081387162304512,144115188075855872,131072,9007216434610176,33554432,2305843009213693952,1,0.0000000000000000
68997906944,258,-9223372036854775808,2147483648,0,8,4081387162304512,144115188075855872,131072,17609365913600,33554432,2305843009213693952,0,1.0000000000000000
68997906944,34,-9223372036854775808,2147483648,0,8,4081387162304512,144115188075855872,131072,17609365913600,33554432,2305843009213693952,1,1.0000000000000000
68997906944,34,-9223372036854775808,2147483648,0,8,4081387162304512,144115188075855872,131072,17609365913600,33554432,4611686018427387904,0,1.0000000000000000
68997906944,66,-9223372036854775808,2147483648,0,8,4081387162304512,144115188075855872,131072,17609365913600,33554432,4611686018427387904,1,1.0000000000000000
68997906944,66,0,2147483648,0,8,4081387162304512,144115188075855872,131072,17609365913600,33554432,-9223372036854775808,0,1.0000000000000000
68997906944,34,0,2147483648,0,8,4081387162304512,144115188075855872,131072,17609365913600,33554432,-9223372036854775808,1,1.0000000000000000
68997906432,34,0,2147483648,0,8,4081387162304512,144115188075855872,512,17609365913600,33554432,-9223372036854775808,0,1.0000000000000000
